filtered_text,Label,text_length,presence_of_digit
bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,14,1
yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae so lyf is nt yet ovr chikku ali vargu lyfu meow meow,0,27,0
kinda first one gets in at twelve aah speak tomo,0,10,0
09066362231 urgent your mobile no 07xxxxxxxxx won a 000 bonus caller prize on 02 06 03 this is the 2nd attempt to reach you call 09066362231 asap,1,27,8
ok good then i later come find c lucky i told to go earlier later pple take finish no more again,0,21,0
wat makes u thk i will fall down but actually i thk ii am quite prone 2 falls lucky my dad at home i ask him come n fetch me already,0,31,1
you 07801543489 are guaranteed the latests nokia phone a 40gb ipod mp3 player or a prize txt word collect to no 83355 150p mt msgrcvd18,1,25,6
your account has been refilled successfully by inr and lt decimal and gt your keralacircle prepaid account balance is rs and lt decimal and gt your transaction id is kr and lt and gt,0,34,0
i wont touch you with out your permission,0,8,0
hi its lucy hubby at meetins all day fri and i will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x minmobsmorelkpobox177hp51fl,1,28,4
7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st lovely good morning dear,0,28,8
take some small dose tablet for fever,0,7,0
oh u must have taken your real valentine out shopping first,0,11,0
just sent you an email to an address with incomm in it is that right,0,15,0
will do you gonna be at all night i might be able to get out of here a little early,0,20,0
friendship is not a game to play it is not a word to say it start on march and ends on may it is tomorrow yesterday today and e,0,29,0
nice wait should you be texting right now ii am not gonna pay your ticket ya know,0,17,0
ii am watching lotr w my sis dis aft so u wan 2 meet me 4 dinner at nite a not,0,21,2
why you keeping me away like this,0,7,0
i think its far more than that but find out check google maps for a place from your dorm,0,19,0
my trip was ok but quite tiring lor uni starts today but ok 4 me cos ii am not taking any modules but jus concentrating on my final yr project,0,30,1
have you always been saying welp,0,6,0
ii am a guy browsin is compulsory,0,7,0
ok,0,1,0
purity of friendship between two is not about smiling after reading the forwarded message its about smiling just by seeing the name gud evng musthu,0,25,0
sorry i will call later,0,5,0
i should add that i do not really care and if you i can at least get this dude to fuck off but hey your money if you want it,0,30,0
hello lover how goes that new job are you there now are you happy do you think of me i wake my slave and send you a teasing kiss from across the sea,0,33,0
i told your number to gautham,0,6,0
tell them no need to investigate about me anywhere,0,9,0
ok i juz receive,0,4,0
cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later,0,34,0
your account has been credited with 500 free text messages to activate just txt the word credit to no 80488 t and cs www 80488 biz,1,26,3
in the end she might still vomit but its okay not everything will come out,0,15,0
how are you with money as in to you money aint a thing how are you sha,0,17,0
it has everything to do with the weather keep extra warm its a cold but nothing serious pls lots of vitamin c,0,22,0
hey gals anyone of u going down to e driving centre tmr,0,12,0
ii am always on yahoo messenger now just send the message to me and i ll get it you may have to send it in the mobile mode sha but i ll get it and will reply,0,37,0
ii am putting it on now it should be ready for and lt time and gt,0,16,0
time n smile r the two crucial things in our life sometimes time makes us to forget smile and sometimes smile makes us to forget time gud noon,0,28,0
sms ac jsco energy is high but u may not know where 2channel it 2day ur leadership skills r strong psychic reply ans w question end reply end jsco,1,29,2
idps for linux systems,0,4,0
hot live fantasies call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call,1,24,6
don no da whats you plan,0,6,0
ill be there on and lt and gt ok,0,9,0
oh my god ii am almost home,0,7,0
total video converter free download type this in google search,0,10,0
thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now,1,24,0
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,0,34,0
sounds like something that someone testing me would sayy,0,9,0
when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,0,33,0
pete is this your phone still its jenny from college and leanne what are you up to now,0,18,0
oops sorry just to check that you do not mind picking me up tomo at half eight from station would that be ok,0,23,0
hey sweet i was wondering when you had a moment if you might come to me i want to send a file to someone but it will not go over yahoo for them because their connection sucks remember when you set up that page for me to go to and download the format disc could you tell me how to do that or do you know some other way to download big files because they can download stuff directly from the internet any help would be great my prey teasing kiss,0,91,0
hows the champ just leaving glasgow,0,6,0
k all the best congrats,0,5,0
i wonder if you will get this text,0,8,0
i need to come home and give you some good lovin,0,11,0
our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists,1,28,0
shall i ask one thing if you dont mistake me,0,10,0
check wid corect speling i e sarcasm,0,7,0
urgent your mobile no was awarded a 000 bonus caller prize on 1 08 03 this is our 2nd attempt to contact you call box95qu bt national rate,1,28,6
are you angry with me what happen dear,0,8,0
i thk u dun haf 2 hint in e forum already lor cos i told ron n darren is going 2 tell shuhui,0,23,2
yup ok thanx,0,3,0
hi cts employee how are you,0,6,0
pls pls find out from aunt nike,0,7,0
wow i love you sooo much you know i can barely stand it i wonder how your day goes and if you are well my love i think of you and miss you,0,33,0
no screaming means shouting,0,4,0
hey what happen de are you alright,0,7,0
should i have picked up a receipt or something earlier,0,10,0
i think chennai well settled,0,5,0
oh dang i mean o send that to you lol,0,10,0
unfortunately just found out that we have to pick my sister up from the airport that evening so do not think i will be going out at all we should try to go out one of th,0,37,0
horrible bf i now v hungry,0,6,0
remember on that day,0,4,0
you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hg suite342 2lands row w1jhl 16,1,31,6
it feel mr your not my real valentine just my yo valentine even tho u hardly play,0,17,0
all sounds good fingers makes it difficult to type,0,9,0
midnight at the earliest,0,4,0
not sure that ii am not trying to make xavier smoke because i do not want to smoke after being told i smoke too much,0,25,0
k come to nordstrom when done,0,6,0
do u konw waht is rael friendship im gving yuo an exmpel jsut ese tihs msg evrey splleing of tihs msg is wrnog bt sitll yuo can raed it wihtuot ayn mitsake goodnight and amp have a nice sleep sweet dreams,0,41,0
now press conference da,0,4,0
hello from orange for 1 free access to games news and sport plus 10 free texts and 20 photo messages reply yes terms apply www orange co uk ow,1,29,3
after completed degree there is no use in joining finance,0,10,0
good afternoon my love any job prospects are you missing me what do you do are you being lazy and bleak hmmm or happy and filled with my love,0,29,0
shant disturb u anymore jia you,0,6,0
bishan lar nearer no need buy so early cos if buy now i gotta park my car,0,17,0
me i dont know again oh,0,6,0
dude sux for snake he got old and raiden got buff,0,11,0
he says hi and to get your ass back to south tampa preferably at a kegger,0,16,0
in e msg jus now u said thanks for gift,0,10,0
u too,0,2,0
ok how you dear did you call chechi,0,8,0
yeah we do totes when u wanna,0,7,0
ok i found dis pierre cardin one which looks normal costs 20 its on sale,0,15,1
good sleep is about rhythm the person has to establish a rhythm that the body will learn and use if you want to know more,0,25,0
wat r u doing,0,4,0
message from i am at truro hospital on ext you can phone me here as i have a phone by my side,0,22,0
single line with a big meaning anything 4 ur best but,0,11,1
just got some gas money any chance you and the gang want to go on a grand nature adventure,0,19,0
dnt worry use ice pieces in a cloth pack also take 2 tablets,0,13,1
dude just saw a parked car with its sunroof popped up sux,0,12,0
get ready to put on your excellent sub face,0,9,0
tmrw im finishing 9 doors,0,5,1
the and lt and gt g that i saw a few days ago the guy wants sell wifi only for and lt and gt and with 3g for and lt and gt why i blanked him,0,36,1
i am late i will be there at,0,8,0
whatever im pretty pissed off,0,5,0
today is accept day u accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,0,25,3
i dont have that much image in class,0,8,0
no i got rumour that you going to buy apartment in chennai,0,12,0
near kalainar tv office thenampet,0,5,0
ur is currently 500 pounds to maximize ur now send go to 86688 only 150p msg cc 08718720201 hg suite342 2lands row w1j6hl,1,23,8
sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join and take part txt nokia to 86021 now hg suite342 2lands row w1j6hl,1,30,8
my sis is catching e show in e afternoon so ii am not watching w her so c u wan 2 watch today or tmr lor,0,26,1
sounds gd haha can wah u yan jiu so fast liao,0,11,0
no to be nosy i guess idk am i over reacting if ii am freaked,0,15,0
remember all those whom i hurt during days of satanic imposter in me need to pay a price so be it may destiny keep me going and as u said pray that i get the mind to get over the same,0,41,0
how to make a girl happy not at all difficult to make girls happy u only need to be 1 a friend 2 companion 3 lover 4 chef and lt and gt good listener and lt and gt organizer and lt and gt good boyfriend and lt and gt very clean and lt and gt sympathetic and lt and gt athletic and lt and gt warm and lt and gt courageous and lt and gt determined and lt and gt true and lt and gt dependable and lt and gt intelligent and lt and gt psychologist and lt and gt pest exterminator and lt and gt psychiatrist and lt and gt healer and lt and gt stylist and lt and gt driver aaniye pudunga venaam,0,125,4
why is that princess i bet the brothas are all chasing you,0,12,0
i shall book chez jules for half eight if ok with you,0,12,0
hhahhaahahah rofl wtf nig was leonardo in your room or something,0,11,0
yep at house now see you sunday and lt 3,0,10,1
cool let me know before it kicks off around and lt and gt i will be out and about all day,0,21,0
sorry i will call later,0,5,0
i was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here that and lt and gt dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives every dime so for me to expect anything from you is not practical something like that,0,72,1
there are no other charges after transfer charges and you can withdraw anyhow you like,0,15,0
dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl,0,32,0
at 4 go to bill millers,0,6,1
i love you you set my soul on fire it is not just a spark but it is a flame a big rawring flame xoxo,0,25,0
somewhr someone is surely made 4 u and god has decided a perfect time to make u meet dat person till den enjoy ur crushes,0,25,1
my honeymoon outfit,0,3,0
will it help if we propose going back again tomorrow,0,10,0
private your 2003 account statement for shows 800 s i m points call 08719899230 identifier code 41685 expires 07 11 04,1,21,7
never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning,0,28,0
pls confirm the time to collect the cheque,0,8,0
as a registered subscriber yr draw 4 a gift voucher will b entered on receipt of a correct ans when are the next olympics txt ans to 80062,1,28,2
urgent your mobile number has been awarded with a prize guaranteed call 09061790121 from land line claim 3030 valid 12hrs only 150ppm,1,22,4
daddy will take good care of you,0,7,0
yeah probably i still gotta check out with leo,0,9,0
k then any other special,0,5,0
carlos is taking his sweet time as usual so let me know when you and patty are done want to smoke and i will tell him to haul ass,0,29,0
ok pa nothing problem,0,4,0
have you heard about that job ii am going to that wildlife talk again tonight if u want2come its that2worzels and a wizzle or whatever it is,0,27,2
god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaid this friend is 4u,0,20,1
when you came to hostel,0,5,0
ok no prob i will come after lunch then,0,9,0
jus telling u dat i will b leaving 4 shanghai on 21st instead so we will haf more time 2 meet up cya,0,23,3
are your freezing are you home yet will you remember to kiss your mom in the morning do you love me do you think of me are you missing me yet,0,31,0
you all ready for big day tomorrow,0,7,0
i will probably be around mu a lot,0,8,0
645,0,1,1
pro video club need help info ringtoneking co uk or call 08701237397 you must be 16 club credits redeemable at www ringtoneking co uk enjoy,1,25,2
thnx dude u guys out 2nite,0,6,1
me sef dey laugh you meanwhile my darling anjie,0,9,0
mm i had my food da from out,0,8,0
k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,0,25,0
did u download the fring app,0,6,0
the 2 oz guy is being kinda flaky but one friend is interested in picking up and lt and gt worth tonight if possible,0,24,1
friends that u can stay on fb chat with,0,9,0
fuck babe i miss you sooooo much i wish you were here to sleep with me my bed is so lonely i go now to sleep to dream of you my love,0,32,0
living is very simple loving is also simple laughing is too simple winning is tooo simple but being is very difficult gud nte,0,23,0
u have a secret admirer who is looking 2 make contact with out who they r reveal who thinks ur so on 09058094599,1,23,2
ah well that confuses things it,0,6,0
500 free text msgs just text ok to 80488 and we will credit your account,1,15,2
hi dear call me its urgnt i do not know whats your problem you do not want to work or if you have any other problem at least tell me wating for your reply,0,34,0
dear how you are you ok,0,6,0
you have been selected to stay in 1 of 250 top british hotels for nothing holiday worth to claim call london 02072069400 bx 526 sw73ss,1,25,5
yes princess i want to make you happy,0,8,0
sounds like you have many talents would you like to go on a dinner date next week,0,17,0
i am going to film 2day da at 6pm sorry da,0,11,2
we not watching movie already xy wants 2 shop so ii am shopping w her now,0,16,1
hello my little party animal i just thought i would buzz you as you were with your friends grins reminding you were loved and send a naughty adoring kiss,0,29,0
yesterday its with me only now am going home,0,9,0
eerie nokia tones 4u rply tone title to 8007 eg tone dracula to 8007 titles ghost addamsfa munsters exorcist twilight www getzed co uk pobox36504w45wq 150p,1,26,6
you have come into my life and brought the sun shiny down on me warming my heart putting a constant smile on my face making me feel loved and cared for,0,31,0
no shit but i that surprised so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i let him fuck me,0,34,0
0a networks allow companies to bill for sms so they are responsible for their,1,14,1
great comedy cant stop laughing da,0,6,0
freemsg feelin kinda lnly hope u like 2 keep me company jst got a cam moby wanna c my pic txt or reply date to 82242 msg150p 2rcv hlp 08712317606 stop to 82242,1,33,6
alright all set here text the man,0,7,0
hi where are you at and not keen to go out i kind of am but feel i should not so can we go out tomo do not mind do you,0,31,0
sleeping nt feeling well,0,4,0
u will switch your fone on dammit,0,7,0
india have to take lead,0,5,0
i ll post her out l8r in class,0,8,1
thts wat wright brother did to fly,0,7,0
evening v good if somewhat event laden will fill you in do not you worry head ok but throat wrecked see you at six then,0,25,0
if u laugh really loud if u talk spontaneously if u dont care what others feel u are probably with your dear and amp best friends goodevening dear,0,28,0
its a laptop take it with you,0,7,0
i dont have any of your file in my bag i was in work when you called me i will tell you if i find anything in my room,0,29,0
i wan but too early lei me outside now wun b home so early neva mind then,0,17,0
for ur chance to win a cash every wk txt action to 80608 and www movietrivia tv custcare 08712405022 1x150p wk,1,21,4
i was at bugis juz now wat but now ii am walking home oredi so late then reply i oso saw a top dat i like but din buy where r now,0,32,0
wishing you and your family merry mas and happy new year in advance,0,13,0
at 7 we will go ok na,0,7,1
yes i posted a couple of pics on fb still snow outside too ii am just waking up,0,18,0
s if we have one good partnership going we will take lead,0,12,0
rgent this is the 2nd attempt to contact u u have won call 09071512433 b4 050703 t and csbcm4235wc1n3xx callcost 150ppm mobilesvary 50,1,23,9
yeah your class at,0,4,0
no just send to you bec you in temple na,0,10,0
you coming home between class right i need to work out and shower,0,13,0
hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 sort time 09099726429 janinexx minmobsmorelkpobox177hp51fl,1,25,5
s but mostly not like that,0,6,0
v ma fan,0,3,0
dunno cos i was v late n when i reach they inside already but we ate spageddies lor e gals who r laughing at me lor,0,26,0
guess who spent all last night phasing in and out of the fourth dimension,0,14,0
so now my dad is gonna call after he gets out of work and ask all these crazy questions,0,19,0
yes but they said its it,0,6,0
very hurting n meaningful lines ever compromised everything for my love,0,11,0
lmao nice 1,0,3,1
glad to see your reply,0,5,0
urgent we are trying to contact u todays draw shows that you have won a prize guaranteed call 09050001295 from land line claim a21 valid 12hrs only,1,27,3
monthly password for wap mobsi com is 391784 use your wap phone not pc,1,14,1
nah dub but je still buff,0,6,0
painful thought being happy was the most toughest thing on earth but,0,12,0
yeah fine to get in is that ok,0,8,0
lol where do u come up with these ideas,0,9,0
so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends sh jas,0,30,0
today is dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0,22,0
okay we wait ah,0,4,0
y lei,0,2,0
hi babe u r most likely to be in bed but im so sorry about tonight i really wanna see u tomorrow so call me at 9 love me xxx,0,30,1
already am squatting is the new way of walking,0,9,0
do you want bold 2 or bb torch,0,8,1
cramps stopped going back to sleep,0,6,0
todays vodafone numbers ending with 0089 my last four digits are selected to received a award if your number matches please call 09063442151 to claim your award,1,27,2
free top ringtone to weekly 1st week subpoly to 3 per,1,11,2
nan sonathaya soladha why boss,0,5,0
bring tat cd don forget,0,5,0
sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 50 sp tyrone,1,26,2
i do not know but ii am raping dudes at poker,0,11,0
weightloss no more girl friends make loads of money on ebay or something and give thanks to god,0,18,0
was gr8 to see that message so when r u leaving congrats dear what school and wat r ur plans,0,20,1
eatin later but ii am eatin wif my frens now lei going home first,0,14,0
finish already yar they keep saying i mushy i so embarrassed ok,0,12,0
sorry man my stash ran dry last night and i pick up more until sunday,0,15,0
hai priya are you right what doctor said pa where are you,0,12,0
free msg sorry a service you ordered from 81303 could not be delivered as you do not have sufficient credit please top up to receive the service,1,27,1
ok,0,1,0
please ask mummy to call father,0,6,0
can come my room but cannot come my house cos my house still messy haha,0,15,0
i have lost 10 kilos as of today,0,8,1
just taste fish curry,0,4,0
what can i do might accidant tookplace between somewhere ghodbandar rd traffic moves slovely so plz slip and amp do not worry,0,22,0
yun ah now wkg where btw if go nus sc wana specialise in wad,0,14,0
yes i am a one woman man please tell me your likes and dislikes in bed,0,16,0
was doing my test earlier i appreciate you will call you tomorrow,0,12,0
my loverboy doing what does he do that keeps him from coming to his queen hmmm he ache to speak to me miss me desparately,0,25,0
u meet other fren dun wan meet me ah muz b a guy rite,0,14,0
no promises on when though even gotten dinner yet,0,9,0
i got your back do you have any dislikes in bed,0,11,0
o turns out i had stereo love on mi phone under the unknown album,0,14,0
hard live 121 chat just 60p min choose your girl and connect live call 09094646899 now cheap chat biggest live service vu bcm1896wc1n3xx,1,23,6
yeah i do not see why not,0,7,0
asking do u knw them or nt may be ur frnds or classmates,0,13,0
sorry about earlier putting out fires are you around to talk after 9 or do you actually have a life lol,0,21,1
wow the boys r back take that 2007 uk tour win vip tickets and with vip club txt club to 81303 trackmarque ltd info vipclub4u,1,25,3
as in missionary hook up doggy hook up standing,0,9,0
then u better go sleep dun disturb u liao u wake up then msg me lor,0,16,0
fighting with the world is easy u either win or lose bt fightng with some1 who is close to u is dificult if u lose u lose if u win u still lose,0,33,1
am watching house very entertaining am getting the whole hugh laurie thing even with the stick indeed especially with the stick,0,21,0
thought praps you meant another one goodo i will look tomorrow,0,11,0
hi jon pete here ive bin 2 spain recently and hav sum dinero left bill said u or ur mayb interested in it i hav 12 000pes so around tb james,0,31,3
there bold 2 and lt and gt is that yours,0,10,1
you know there is i shall speak to you in and lt and gt minutes then,0,16,0
hunny wot u up 2 2nite didnt end up goin down town jus da pub instead jus chillin at da mo in me bedroom love jen xxx,0,27,2
i went to project centre,0,5,0
as per your request i amaangalyam alaipayuthe has been set as your callertune for all callers press 9 to copy your friends callertune,0,23,1
lol yeah at this point i guess not,0,8,0
doing project w frens lor,0,5,0
lol well quality aint bad at all so i aint complaining,0,11,0
k can that happen tonight,0,5,0
hi this is mandy sullivan calling from hotmix fm you are chosen to receive 00 in our easter prize draw please telephone 09041940223 to claim before 29 03 05 or your prize will be transferred to someone else,1,38,5
i think going to now come,0,6,0
why tired what special there you had,0,7,0
i will come tomorrow di,0,5,0
i cant pick the phone right now pls send a message,0,11,0
k go and sleep well take rest,0,7,0
u guys never invite me anywhere,0,6,0
ur going 2 bahamas callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise cash 18 only to opt out txt x to 07786200117,1,27,4
i can do that i want to please you both inside and outside the bedroom,0,15,0
calm downon theacusations itxt u cos iwana know wotu r doin at thew end haventcn u in ages ring me if ur up4 nething sat love j xxx,0,28,1
i love to wine and dine my lady,0,8,0
someone has conacted our dating service and entered your phone because they fancy you to find out who it is call from landline 09111030116 pobox12n146tf15,1,25,4
cool ta luv but v tired 2 cause i have been doin loads of planning all wk we have got our social services inspection at the nursery take care and spk sn x,0,33,1
i don know account details i will ask my mom and send you my mom is out of reach now,0,20,0
i think u have the wrong number,0,7,0
feel yourself that you are always happy slowly it becomes your habit and amp finally it becomes part of your life follow it happy morning and amp have a happy day,0,31,0
do not b late love mum,0,6,0
got it mail panren paru,0,5,0
was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0,17,1
give one miss from that number please,0,7,0
jus came back fr lunch wif my sis only u leh,0,11,0
how is your schedule next week i am out of town this weekend,0,13,0
really good dhanush rocks once again,0,6,0
lmao ok i wont be needing u to do my hair anymore,0,12,0
miss ya need ya want ya love ya,0,8,0
sorry ii am not free,0,5,0
do u ever get a song stuck in your head for no reason and it will not go away til u listen to it like 5 times,0,27,1
nt yet chikku simple habba hw abt u,0,8,0
got ur mail dileep thank you so muchand look forward to lots of support very less contacts here remember one venugopal you mentioned tomorrow if not late i shall try to come up till there goodnight dear,0,37,0
sometimes heart remembrs someone very much forgets someone soon bcoz heart will not like everyone but liked ones will be remembered everytime bslvyl,0,23,0
father is john then john is the name of father mandan,0,11,0
hi 07734396839 ibh customer loyalty offer the new nokia6600 mobile from only at txtauction txt word start to no 81151 and get yours now 4t and,1,26,4
hi this is yijue regarding the 3230 textbook intro to algorithms second edition ii am selling it for 50,0,19,2
sms auction you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hg suite342 2lands row w1jhl 16,1,33,6
k want us to come by now,0,7,0
how its a little difficult but its a simple way to enter this place,0,14,0
ha both of us doing e same thing but i got tv 2 watch u can thk of where 2 go tonight or u already haf smth in mind,0,29,2
dont show yourself how far put new pictures up on facebook,0,11,0
watching tv now i got new job,0,7,0
good afternoon sexy buns how goes the job search i wake and you are my first thought as always my love i wish your fine and happy and know i adore you,0,32,0
ii am not coming over do whatever you want,0,9,0
its ok chikku and its my 1 of favourite song,0,10,1
did u see what i posted on your facebook,0,9,0
call freephone 0800 542 0578 now,1,6,3
buy space invaders 4 a chance 2 win orig arcade game console press 0 for games arcade std wap charge see o2 co uk games 4 terms settings no purchase,1,30,5
7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st lovely good morning dear,0,28,8
loan for any purpose 000 homeowners tenants welcome have you been previously refused we can still help call free 0800 1956669 or text back,1,24,3
big brother alert the computer has selected u for 10k cash or 150 voucher call 09064018838 ntt po box cro1327 18 bt landline cost 150ppm mobiles vary,1,27,6
oh well c u later,0,5,0
my uncles in atlanta wish you guys a great semester,0,10,0
no dear i do have free messages without any recharge hi hi hi,0,13,0
dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl,0,32,0
i dun believe u i thk u told him,0,9,0
do you know why god created gap between your fingers so that one who is made for you comes and amp fills those gaps by holding your hand with love,0,30,0
yes sura in sun tv lol,0,6,0
arun can u transfr me d amt,0,7,0
takin a shower now but yeah i will leave when ii am done,0,13,0
am not working but am up to eyes in philosophy so will text u later when a bit more free for chat,0,22,0
u lost me ill always b here 4u i intend 2 hurt u but i never knew how u felt about me when iwas marine and what itried2tell urmom i careabout u,0,32,3
win we have a winner mr t foley won an ipod more exciting prizes soon so keep an eye on ur mobile or visit www co uk,1,27,0
you bad girl i can still remember them,0,8,0
how much i gave to you morning,0,7,0
i hope your alright babe i worry that you might have felt a bit desparate when you learned the job was a fake i am here waiting when you come back my love,0,33,0
hey can you tell me address carlos wanted me to meet him there but i got lost and not answering his phone,0,22,0
can i get your opinion on something first,0,8,0
that one week leave i put know that time why,0,10,0
if we hit it off you can move in with me,0,11,0
excellent i spent and lt and gt years in the air force iraq and afghanistan i am stable and honest do you like traveling,0,24,0
i wanna watch that movie,0,5,0
ok lor thanx in school,0,5,0
ii am in class did you get my text,0,9,0
the bus leaves at and lt and gt,0,8,0
god bless get good sleep my dear i will pray,0,10,0
todays voda numbers ending 1225 are selected to receive a if you have a match please call 08712300220 quoting claim code 3100 standard rates app,1,25,3
do have a nice day today i love you so dearly,0,11,0
aiyo a bit pai seh noe scared he dun rem who i am then die hee but he become better lookin oredi leh,0,23,0
aight i will ask a few of my roommates,0,9,0
now whats your house again and do you have any beer there,0,12,0
do all wan 2 meet up n combine all the parts da rest of da project going,0,17,1
tickets 4 walsall tue 6 th march my mate is getting me them on sat ill pay my treat want 2 go txt bak,0,24,3
yes we are chatting too,0,5,0
hi its jess i dont know if you are at work but call me when u can im at home all eve xxx,0,23,0
sian aft meeting supervisor got work 2 do liao u working now,0,12,1
are you going to write ccna exam this week,0,9,0
well i will watch shrek in 3d b,0,8,1
am i that much dirty fellow,0,6,0
dunno wat he told me ok lor,0,7,0
i will probably be by tomorrow or even later tonight if going on,0,13,0
i say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night,0,35,0
if thinking of lifting me one then no,0,8,0
same as u dun wan y u dun like me already ah wat u doing now still eating,0,18,0
sent me ur email id soon,0,6,0
wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,0,26,0
dude up how teresa hope you have been okay when i didnt hear from these people i called them and they had received the package since dec and lt and gt just thot like to know do have a fantastic year and all the best with your reading plus if you can really really bam first aid for usmle then your work is done,0,64,0
hey gorgeous man my work mobile number is have a good one babe squishy mwahs,0,15,0
may i call you later pls,0,6,0
hottest pics straight to your phone see me getting wet and wanting just for you xx text pics to 89555 now txt costs 150p textoperator g696ga 18 xxx,1,28,4
the way you should stay oh,0,6,0
thanx for taking that call i got a job starts on monday,0,12,0
what time is ur flight tmr,0,6,0
when should i come over,0,5,0
i have a rather prominent bite mark on my right cheek,0,11,0
will be september by then,0,5,0
are you wet right now,0,5,0
and your husband,0,3,0
hack chat get backdoor entry into 121 chat rooms at a fraction of the cost reply neo69 or call 09050280520 to subscribe 25p pm dps bcm box 8027 ldn wc1n3xx,1,30,7
are we doing the norm tomorrow i finish just a 4 15 cos of st tests need to sort library stuff out at some point tomo got letter from today access til end march so i better get move on,0,40,2
yeah i got a list with only u and joanna if ii am feeling really anti social,0,17,0
i am in your office na,0,6,0
you comingdown later,0,3,0
super da good replacement for murali,0,6,0
da is good good player why he is unsold,0,9,0
hi do u want to join me with sts later meeting them at five call u after class,0,18,0
its on in engalnd but telly has decided it will not let me watch it and mia and elliot were kissing damn it,0,23,0
free nokia or motorola with upto 12mths 1 2price linerental 500 free mins and 100txt mth free call mobileupd8 on 08001950382 or call 2optout d3wv,1,25,9
i dont want to hear philosophy just say what happen,0,10,0
you got job in wipro you will get every thing in life in 2 or 3 years,0,17,2
then cant get da laptop my matric card wif lei,0,10,0
dunno da next show aft 6 is 850 toa payoh got 650,0,12,3
this is the 2nd time we have tried 2 contact u u have won the 750 pound prize 2 claim is easy call 08718726970 now only 10p per min,1,29,6
i just made some payments so dont have that much sorry would you want it fedex or the other way,0,20,0
they play one day last year know even though they have very good team like india,0,16,0
k you are the only girl waiting in reception ah,0,10,0
say this slowly god i love you and amp i need you clean my heart with your blood send this to ten special people and amp u c miracle tomorrow do it pls pls do it,0,36,0
i hate when she does this she turns what should be a fun shopping trip into an annoying day of how everything would look in her house,0,27,0
sir i am waiting for your call,0,7,0
up do you want me to come online,0,8,0
it could work we will reach a consensus at the next meeting,0,12,0
aiyah then i wait lor then u entertain me hee,0,10,0
the last thing i ever wanted to do was hurt you and i think it would have you would laugh be embarassed delete the tag and keep going but as far as i knew it even up the fact that you even felt like i would do it to hurt you shows you really do not know me at all it was messy wednesday but it bad the problem i have with it is you have the time to clean it but you choose not to you skype you take pictures you sleep you want to go out i do not mind a few things here and there but when you do not make the bed when you throw laundry on top of it when i have a friend in the house because ii am embarassed that underwear and bras strewn on the bed pillows on the floor something else you used to be good about at least making the bed,0,161,0
i will let you know when it kicks in,0,9,0
you call him now ok i said call him,0,9,0
call to the number which is available in appointment and ask to connect the call to waheed fathima,0,18,0
or go buy wif him then i meet later can,0,10,0
mmmm fuck not fair you know my weaknesses grins pushes you to your exposes my belly and pulls your head to it do not forget i know yours too wicked smile,0,31,0
today my system sh get ready all is well and i am also in the deep well,0,17,0
mom wants to know where you at,0,7,0
aight i will text you when ii am back,0,9,0
dont know supports ass and srt i thnk i think ps3 can play through usb too,0,16,1
oh ok i didnt know what you meant yep i am baby jontin,0,13,0
